"","IncidentMonth","IncidentWeekOfMonth","IncidentDayOfWeek","Make","IncidentAddressType","DeclarationDayOfWeek","DeclarationMonth","DeclarationWeekOfMonth","DriverGender","DriverMaritalStatus","DriverAge","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound","PolicyNumber","RepairerDetailID","Deductible","DriverRating","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChangeClaim","NumberOfCars","IncidentYear","BasePolicy"
"57","Feb",1,"Monday","Mazda","Urban","Tuesday","Feb",2,"Male","Married",68,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,8633,7,400,2,"more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"58","Nov",2,"Thursday","Toyota","Rural","Friday","Nov",2,"Male","Married",53,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,7872,5,400,2,"more than 30","more than 30","none","4 years","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Collision"
"59","Nov",3,"Friday","Toyota","Urban","Friday","Nov",3,"Female","Married",44,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,6016,14,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"60","Jun",2,"Tuesday","Honda","Urban","Tuesday","Jun",2,"Female","Single",41,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,2876,1,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"61","Apr",1,"Monday","Honda","Urban","Friday","Apr",2,"Male","Married",64,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,3326,9,400,3,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"62","Jan",4,"Friday","Chevrolet","Urban","Friday","Jan",5,"Male","Married",27,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,10631,11,400,4,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"63","Jun",3,"Tuesday","Pontiac","Rural","Thursday","Jun",4,"Male","Single",22,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,10151,1,400,2,"more than 30","more than 30","more than 4","5 years","26 to 30","No","No","External","1 to 2","no change","1 vehicle",1995,"Liability"
"64","Mar",5,"Friday","Chevrolet","Urban","Monday","Apr",1,"Male","Married",48,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,3926,2,400,3,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"65","Jun",5,"Wednesday","Pontiac","Urban","Tuesday","Aug",1,"Male","Married",52,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,9256,4,400,4,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Liability"
"66","Mar",4,"Friday","Toyota","Urban","Monday","Mar",5,"Female","Married",35,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,10771,4,400,4,"more than 30","more than 30","2 to 4","4 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Liability"
"67","Sep",1,"Saturday","Pontiac","Urban","Thursday","Sep",2,"Female","Married",45,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,11897,14,400,1,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1996,"Collision"
"68","Feb",1,"Thursday","Toyota","Urban","Thursday","Feb",1,"Male","Married",40,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,1996,13,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"All Perils"
"69","Jul",5,"Thursday","Ford","Urban","Tuesday","Aug",1,"Male","Married",71,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,8166,9,400,1,"more than 30","more than 30","1","more than 7","over 65","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"70","Jun",3,"Friday","Honda","Urban","Tuesday","Jun",4,"Male","Married",39,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,10985,15,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"71","Oct",5,"Friday","VW","Urban","Friday","Oct",5,"Male","Married",69,"Third Party","Sedan - All Perils","Sedan","60000 to 69000",0,384,11,400,1,"more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"72","Jun",2,"Wednesday","Pontiac","Rural","Thursday","Jun",2,"Male","Married",42,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,2643,3,400,4,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"73","Jun",3,"Tuesday","Toyota","Urban","Tuesday","Jun",3,"Male","Single",28,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,7658,3,400,2,"more than 30","more than 30","1","3 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"74","Apr",2,"Thursday","Pontiac","Urban","Thursday","Apr",3,"Male","Single",42,"Policy Holder","Utility - All Perils","Utility","40000 to 59000",0,7608,4,400,1,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"75","Dec",4,"Monday","Mazda","Urban","Wednesday","Dec",5,"Female","Married",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,3369,5,400,4,"more than 30","more than 30","none","4 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"76","Jan",3,"Friday","Toyota","Urban","Friday","Jan",5,"Female","Married",34,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,11839,4,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1996,"All Perils"
"77","Dec",3,"Friday","Honda","Urban","Monday","Dec",3,"Male","Single",23,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,11321,2,400,4,"more than 30","more than 30","2 to 4","3 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"78","Jul",3,"Monday","Pontiac","Urban","Monday","Jul",3,"Female","Single",34,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,1981,5,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"79","Jul",4,"Sunday","Chevrolet","Urban","Tuesday","Jul",4,"Male","Single",30,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,7830,5,400,2,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1995,"Liability"
"80","Jul",1,"Saturday","Pontiac","Urban","Wednesday","Jan",2,"Female","Single",31,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,8581,10,400,2,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"81","May",2,"Saturday","Mazda","Urban","Tuesday","May",2,"Male","Single",23,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,6476,10,400,4,"more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"82","Dec",1,"Friday","Toyota","Urban","Friday","Dec",1,"Male","Married",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,4019,1,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","3 to 4",1994,"Collision"
"83","Jan",3,"Sunday","Honda","Urban","Monday","Jan",3,"Male","Single",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,13780,16,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Collision"
"84","Jun",1,"Friday","Pontiac","Urban","Monday","Jun",1,"Female","Single",31,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,3351,7,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"85","Apr",3,"Thursday","Honda","Urban","Thursday","Apr",1,"Male","Single",0,"Policy Holder","Sport - All Perils","Sport","more than 69000",0,9554,15,400,4,"more than 30","more than 30","none","new","16 to 17","Yes","No","External","none","no change","1 vehicle",1995,"All Perils"
"86","Apr",2,"Wednesday","Mazda","Urban","Thursday","Apr",3,"Male","Married",43,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",1,11513,10,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"87","Oct",4,"Friday","Honda","Urban","Friday","Nov",2,"Male","Married",41,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,3124,2,400,1,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"88","Feb",3,"Monday","Pontiac","Urban","Tuesday","Feb",4,"Male","Married",42,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,13960,5,400,1,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"89","Dec",2,"Saturday","Pontiac","Urban","Friday","Dec",4,"Female","Married",28,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,10137,7,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"90","Apr",4,"Saturday","Toyota","Urban","Wednesday","Apr",4,"Female","Single",22,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,1186,9,400,1,"more than 30","more than 30","none","3 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"91","Jan",2,"Sunday","Chevrolet","Rural","Tuesday","Jan",2,"Male","Single",28,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,4258,15,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"92","Nov",2,"Monday","Toyota","Urban","Monday","Nov",2,"Male","Single",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,12347,3,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1996,"Liability"
"93","May",5,"Sunday","Toyota","Urban","Monday","May",5,"Male","Married",45,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,6160,6,400,3,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Collision"
"94","Dec",2,"Sunday","Honda","Urban","Wednesday","Feb",3,"Male","Single",0,"Policy Holder","Utility - Liability","Utility","more than 69000",0,7473,12,400,3,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1995,"Liability"
"95","Feb",2,"Saturday","Pontiac","Urban","Thursday","Feb",3,"Female","Married",40,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,10634,2,700,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"96","Dec",3,"Monday","Toyota","Urban","Monday","Dec",3,"Male","Single",30,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,11484,15,400,4,"15 to 30","15 to 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Collision"
"97","Apr",2,"Tuesday","Pontiac","Urban","Monday","Apr",3,"Male","Married",52,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,10677,10,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
